"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Teruel","ES","Aragon","medium_town","93","2","Best option: Área de Autocaravanas Teruel – €8-12/night, services included, walking distance to centre
Alternative: Camping Ciudad de Teruel if area full
Wild camping: tolerated on outskirts but check local signs","2","","Spain's coldest provincial capital has more UNESCO-listed Mudéjar towers than anywhere else, but locals joke 'Teruel exists!' because it's so forgotten that highway signs don't even mention it.","May–Sept","Dec–Feb: temperatures drop to -10°C, unusual for Spain","","","","","","","","","",""
"Le Locle","CH","Neuenburg","small_town","93","2","Best option: Parking des Jeanneret – CHF 20/night, basic services, 5min walk to centre
Alternative: Public parking with overnight tolerance (check signs)
Wild camping: illegal, strict enforcement and heavy fines","3","","This tiny town invented the modern watch industry - every luxury Swiss watch brand traces its roots here, and the underground mills still use 18th-century water wheels to power precision instruments.","May–Oct","Dec–Feb: heavy snow blocks access to many watchmaking workshops","","","","","","","","","",""
"Tavira","PT","Faro","small_town","93","2","Best option: Área de Autocaravanas Tavira – €8-12/night, full services, 1km from town centre
Alternative: Beach parking areas (seasonal restrictions)
Wild camping: tolerated along coast outside summer, enforcement varies","2","","The town has 37 churches for just 26,000 people - more churches per capita than Vatican City - because wealthy tuna fishing made every neighborhood build its own parish in the 16th century.","Mar–May & Sept–Nov","Jul–Aug: beaches packed with Portuguese tourists, temperatures hit 40°C+","","","","","","","","","",""
"Riomaggiore","IT","Liguria","village","93","3","Best option: Parking in Riomaggiore impossible – stay La Spezia Area Sosta Camper €20/night, train to Cinque Terre. Alternative: Camping Valdeiva inland. Wild camping: illegal and heavily fined","1","Cinque Terre Card €16/day","The famous Via dell'Amore coastal path has been closed since 2012 due to landslides and may never reopen - the iconic Cinque Terre walking route now requires a 3-hour mountain detour.","Apr–May & Sept–Oct","Jun–Aug: train strikes common, villages overwhelmed by cruise ship passengers","","","","","","","","","",""
"Kuressaare","EE","Saare County","small_town","93","2","Best option: Kuressaare Lossiaed parking – €10-15/night, harbour location, walking distance to castle
Alternative: Hotel Arensburg parking arrangement
Wild camping: generally tolerated outside town but ask permission on private land","3","","Home to Europe's best-preserved medieval castle that was never conquered in battle, plus Estonia's only operating windmill from 1899 that still grinds flour daily","May–Sep","Nov–Mar: brutal Baltic winds and most attractions closed","","","","","","","","","",""
"Soria","ES","Castile and León","medium_town","93","2","Best option: Área de Autocaravanas Soria – €10/night, full services, 10min walk to centre
Alternative: Camping Fuente la Teja nearby
Wild camping: tolerated on designated areas outside town","2","","Spain's least populated provincial capital where poet Antonio Machado wrote his most famous works, and the town appears in more Spanish literature per capita than anywhere else","May–Sep","Dec–Feb: harsh continental climate with temperatures dropping to -10°C","","","","","","","","","",""
"Positano","IT","Campania","village","93","3","Best option: Impossible for large RVs – stay Camping Nube d'Argento in Sorrento €35/night, bus connection. Alternative: very limited street parking (ask locally). Wild camping: illegal and towed","1","","The town's buildings are constructed on such steep cliffs that many houses are accessible only by stairs, and mules still deliver groceries because cars can't reach most homes","Apr–Jun, Sep–Oct","Jul–Aug: suffocating crowds and €8 espressos","","","","","","","","","",""
"León","ES","Castile and León","medium_town","93","2","Best option: Área de Autocaravanas León – €12-15/night, services available, 2km from cathedral
Alternative: Camping Esla if full
Wild camping: prohibited in city, tolerated in rural surroundings","2","","Houses 1,800 square meters of original 13th-century stained glass in its cathedral—more medieval glass than any other building worldwide","Apr–Oct","Dec–Feb: freezing Meseta winds and many restaurants close","","","","","","","","","",""
"Cernier","CH","Neuenburg","village","93","1","unverified – check Park4Night","3","","","","","","","","","","","","","",""
"Plage de Saleccia","FR","Corsica","beach","93","3","Best option: Camping U Pezzo – €25/night, 4WD shuttle to beach, basic facilities. Alternative: Wild camping near beach access track (4WD only). Wild camping: tolerated but access road challenging","2","","Remote white sand Caribbean-like beach accessible only by 4WD or boat","May-September, best in shoulder seasons to avoid crowds","Rough 12km dirt road access, summer crowds, limited facilities","","","","","","","","","",""
"Plage d'Essaouira","MA","Marrakesh-Safi","beach","93","3","Best option: Camping Sidi Magdoul – €15/night, beachfront, basic facilities. Alternative: Auberge Tangaro – mixed reviews, check Park4Night. Wild camping: tolerated but security concerns","2","","Constant strong winds make it a windsurfing mecca with historic Portuguese fortifications","March-May and September-November for manageable winds","Extreme summer winds, tourist hasslers, occasional jellyfish","","","","","","","","","",""
"Calanques de Cassis","FR","Provence-Alpes-Côte d'Azur","beach","93","3","Best option: Aire de Cassis – €18/night, services, 3km to calanques trail. Alternative: wild parking at Port-Miou (arrive early). Wild camping: illegal and enforced in national park","1","Calanques National Park parking €6-12/day","Dramatic limestone cliffs creating hidden turquoise coves accessible by hiking or boat","May-June and September for hiking weather, avoid peak summer heat","Summer access restrictions, dangerous cliff edges, crowded boats","","","","","","","","","",""
"Burgos","ES","Castile and León","medium_town","93","2","Best option: Área de Autocaravanas Burgos – €10-12/night, city services, walking distance to cathedral
Alternative: Camping Fuentes Blancas outside town
Wild camping: prohibited near city, tolerated in countryside with care","2","","The only Spanish cathedral with spires that change color throughout the day due to a unique limestone that shifts from golden to pink to purple","May–Sep","Nov–Mar: bone-chilling Castilian winter with frequent snow","","","","","","","","","",""
"Segovia","ES","Castile and León","medium_town","93","3","Best option: Área de Autocaravanas Segovia – €12/night, walking distance to aqueduct. Alternative: Camping Acueducto – larger site outside town. Wild camping: tolerated in some areas but check locally","1","","Its Roman aqueduct was built without a single drop of mortar—20,400 granite blocks held together purely by precise engineering and gravity for 2,000 years","Apr–Oct","Dec–Feb: harsh mountain climate and many monuments have reduced hours","","","","","","","","","",""
"Trogir","HR","Split-Dalmatia County","small_town","93","3","Best option: Camping Rožac – €22/night, seaside, 3km from old town. Alternative: Autocamp Seget – closer but more expensive. Wild camping: tolerated in some coastal areas but enforcement varies","1","","The entire old town sits on a 37-hectare island connected by bridges, making it Croatia's smallest UNESCO World Heritage site that you can walk across in 8 minutes","May–Sep","Jul–Aug: cruise ship invasions turn narrow streets into human sardine cans","","","","","","","","","",""
"Ávila","ES","Castile and León","medium_town","93","2","Best option: Área de Autocaravanas Ávila – €8-10/night, services included, view of medieval walls
Alternative: Camping Sonsoles nearby
Wild camping: prohibited near historic walls, enforcement strict","2","","Surrounded by the world's best-preserved medieval walls with 88 watchtowers—you can walk the entire 2.5km perimeter and peer into residents' backyards","May–Sep","Dec–Feb: Spain's coldest provincial capital with frequent snow","","","","","","","","","",""
"Südstrand Fehmarn","DE","Schleswig-Holstein","beach","93","3","Best option: Wohnmobilstellplatz Burg auf Fehmarn – €18/night, beach access, harbor area. Alternative: Camping Miramar – beachfront but pricier. Wild camping: illegal and enforced on island","1","Fehmarn Bridge toll €20","Germany's sunniest beach with fine sand and excellent windsurfing conditions","June-August for warmth, shoulder seasons for wind sports","Cold Baltic water even in summer, strong currents, limited wild camping","","","","","","","","","",""
"La Chaux-de-Fonds","CH","Neuenburg","medium_town","93","2","Best option: Place de parc Espacité – CHF 15-20/night, basic facilities, central location
Alternative: Public parking with time restrictions (check signs)
Wild camping: illegal, fines CHF 200+ and strictly enforced","3","","The world's highest city (1,000m) planned on a grid system, rebuilt entirely after an 1794 fire, where Le Corbusier was born and every street runs parallel to optimize sunlight for watchmaking","Jun–Sep","Nov–Mar: brutal mountain winters with temperatures below -20°C","","","","","","","","","",""
"Moab","US","Utah","small_town","93","3","Best option: Moab Valley RV Resort – $85/night, full hookups, pool. Alternative: BLM dispersed camping – free but no facilities. Wild camping: legal on BLM land, popular spots fill early","1","Arches/Canyonlands NP $30/vehicle","Sits on the world's largest underground salt deposit, which creates the red rock arches above—the salt layer is 5,000 feet thick and still growing","Mar–May, Sep–Nov","Jun–Aug: deadly 110°F+ heat and flash flood season","","","","","","","","","",""
